Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
91161;2020-09-30T19:36:54.180+02:00;"BrowseForAnimals";0-12;"Try";"Tr006_BackHome";67;yes;"Browsers";"Default zone";""
91513;2020-09-30T19:36:54.532+02:00;"BrowseForAnimals";0-13;"Try";"Tr003_Browse";75;no;"Browsers";"Default zone";"Snakes;500"
91971;2020-09-30T19:36:54.990+02:00;"SearchAnimal";0-2;"Try";"Tr005_SeeDetails";73;yes;"Searchers";"Default zone";"EST-3;200"
92151;2020-09-30T19:36:55.170+02:00;"SearchAnimal";0-7;"Try";"Tr006_BackHome";96;yes;"Searchers";"Default zone";""
92250;2020-09-30T19:36:55.269+02:00;"BrowseForAnimals";0-13;"Try";"Tr001_HomePage";725;yes;"Browsers";"Default zone";""
92263;2020-09-30T19:36:55.282+02:00;"SearchAnimal";0-4;"Try";"Tr001_HomePage";739;yes;"Searchers";"Default zone";""
93274;2020-09-30T19:36:56.293+02:00;"SearchAnimal";0-8;"Try";"Tr003_Search";176;yes;"Searchers";"Default zone";"Iguana;200"
93555;2020-09-30T19:36:56.574+02:00;"SearchAnimal";0-3;"Try";"Tr002_EnterStore";281;yes;"Searchers";"Default zone";""
93578;2020-09-30T19:36:56.597+02:00;"BrowseForAnimals";0-16;"Try";"Tr003_Browse";90;yes;"Browsers";"Default zone";"Cats;200"
93725;2020-09-30T19:36:56.744+02:00;"SearchAnimal";0-0;"Try";"Tr004_SelectAnimal";119;yes;"Searchers";"Default zone";"FI-SW-02;200"
93775;2020-09-30T19:36:56.794+02:00;"SearchAnimal";0-9;"Try";"Tr002_EnterStore";256;yes;"Searchers";"Default zone";""
94510;2020-09-30T19:36:57.529+02:00;"SearchAnimal";0-1;"Try";"Tr004_SelectAnimal";143;yes;"Searchers";"Default zone";"FI-SW-01;200"
96005;2020-09-30T19:36:59.024+02:00;"SearchAnimal";0-3;"Try";"Tr003_Search";142;yes;"Searchers";"Default zone";"Parrot;200"
96818;2020-09-30T19:36:59.837+02:00;"SearchAnimal";0-8;"Try";"Tr004_SelectAnimal";141;yes;"Searchers";"Default zone";"RP-LI-02;200"
97258;2020-09-30T19:37:00.277+02:00;"SearchAnimal";0-1;"Try";"Tr005_SeeDetails";74;yes;"Searchers";"Default zone";"EST-1;200"
97576;2020-09-30T19:37:00.595+02:00;"SearchAnimal";0-4;"Try";"Tr002_EnterStore";372;yes;"Searchers";"Default zone";""
97747;2020-09-30T19:37:00.766+02:00;"BrowseForAnimals";0-13;"Try";"Tr002_EnterStore";468;yes;"Browsers";"Default zone";""
97973;2020-09-30T19:37:00.992+02:00;"SearchAnimal";0-2;"Try";"Tr006_BackHome";306;yes;"Searchers";"Default zone";""
98072;2020-09-30T19:37:01.091+02:00;"BrowseForAnimals";0-16;"Try";"Tr004_SelectProductID";132;yes;"Browsers";"Default zone";"FL-DLH-02;200"
99653;2020-09-30T19:37:02.672+02:00;"SearchAnimal";0-9;"Try";"Tr003_Search";436;yes;"Searchers";"Default zone";"Poodle;200"
99665;2020-09-30T19:37:02.684+02:00;"SearchAnimal";0-3;"Try";"Tr004_SelectAnimal";137;yes;"Searchers";"Default zone";"AV-CB-01;200"
99831;2020-09-30T19:37:02.850+02:00;"SearchAnimal";0-0;"Try";"Tr005_SeeDetails";273;yes;"Searchers";"Default zone";"EST-3;200"
100039;2020-09-30T19:37:03.058+02:00;"BrowseForAnimals";0-13;"Try";"Tr003_Browse";60;yes;"Browsers";"Default zone";"Fish;200"
100341;2020-09-30T19:37:03.360+02:00;"SearchAnimal";0-8;"Try";"Tr005_SeeDetails";70;yes;"Searchers";"Default zone";"EST-13;200"
100765;2020-09-30T19:37:03.784+02:00;"BrowseForAnimals";0-16;"Try";"Tr005_ViewAnimal";130;yes;"Browsers";"Default zone";"EST-17;200"
101087;2020-09-30T19:37:04.106+02:00;"SearchAnimal";0-10;"Try";"Tr001_HomePage";570;yes;"Searchers";"Default zone";""
101201;2020-09-30T19:37:04.220+02:00;"BrowseForAnimals";0-17;"Try";"Tr001_HomePage";644;yes;"Browsers";"Default zone";""
103090;2020-09-30T19:37:06.109+02:00;"SearchAnimal";0-9;"Try";"Tr004_SelectAnimal";142;yes;"Searchers";"Default zone";"K9-PO-02;200"
103341;2020-09-30T19:37:06.360+02:00;"SearchAnimal";0-1;"Try";"Tr006_BackHome";297;yes;"Searchers";"Default zone";""
103556;2020-09-30T19:37:06.575+02:00;"BrowseForAnimals";0-17;"Try";"Tr002_EnterStore";291;yes;"Browsers";"Default zone";""
103661;2020-09-30T19:37:06.680+02:00;"SearchAnimal";0-4;"Try";"Tr003_Search";391;yes;"Searchers";"Default zone";"Dalmation;200"
103897;2020-09-30T19:37:06.916+02:00;"BrowseForAnimals";0-13;"Try";"Tr004_SelectProductID";115;yes;"Browsers";"Default zone";"FI-FW-01;200"
104775;2020-09-30T19:37:07.794+02:00;"SearchAnimal";0-0;"Try";"Tr006_BackHome";66;yes;"Searchers";"Default zone";""
104813;2020-09-30T19:37:07.832+02:00;"SearchAnimal";0-10;"Try";"Tr002_EnterStore";319;yes;"Searchers";"Default zone";""
105256;2020-09-30T19:37:08.275+02:00;"SearchAnimal";0-3;"Try";"Tr005_SeeDetails";266;yes;"Searchers";"Default zone";"EST-18;200"
105258;2020-09-30T19:37:08.277+02:00;"BrowseForAnimals";0-16;"Try";"Tr006_BackHome";60;yes;"Browsers";"Default zone";""
106344;2020-09-30T19:37:09.363+02:00;"SearchAnimal";0-9;"Try";"Tr005_SeeDetails";63;yes;"Searchers";"Default zone";"EST-8;200"
106404;2020-09-30T19:37:09.423+02:00;"SearchAnimal";0-8;"Try";"Tr006_BackHome";288;yes;"Searchers";"Default zone";""
107138;2020-09-30T19:37:10.157+02:00;"BrowseForAnimals";0-14;"Try";"Tr001_HomePage";577;yes;"Browsers";"Default zone";""
107331;2020-09-30T19:37:10.350+02:00;"BrowseForAnimals";0-13;"Try";"Tr005_ViewAnimal";148;yes;"Browsers";"Default zone";"EST-4;200"
108423;2020-09-30T19:37:11.442+02:00;"SearchAnimal";0-3;"Try";"Tr006_BackHome";67;yes;"Searchers";"Default zone";""
108689;2020-09-30T19:37:11.708+02:00;"SearchAnimal";0-4;"Try";"Tr004_SelectAnimal";151;yes;"Searchers";"Default zone";"K9-DL-01;200"
109717;2020-09-30T19:37:12.736+02:00;"BrowseForAnimals";0-14;"Try";"Tr002_EnterStore";473;yes;"Browsers";"Default zone";""
109779;2020-09-30T19:37:12.798+02:00;"BrowseForAnimals";0-17;"Try";"Tr003_Browse";297;yes;"Browsers";"Default zone";"Dogs;200"
109859;2020-09-30T19:37:12.878+02:00;"SearchAnimal";0-9;"Try";"Tr006_BackHome";61;yes;"Searchers";"Default zone";""
110443;2020-09-30T19:37:13.462+02:00;"BrowseForAnimals";0-13;"Try";"Tr006_BackHome";61;yes;"Browsers";"Default zone";""
111072;2020-09-30T19:37:14.091+02:00;"SearchAnimal";0-11;"Try";"Tr001_HomePage";555;yes;"Searchers";"Default zone";""
111176;2020-09-30T19:37:14.195+02:00;"SearchAnimal";0-10;"Try";"Tr003_Search";446;yes;"Searchers";"Default zone";"Gorilla;200"
111788;2020-09-30T19:37:14.807+02:00;"SearchAnimal";0-10;"Try";"Tr001_HomePage";605;yes;"Searchers";"Default zone";""
113413;2020-09-30T19:37:16.432+02:00;"BrowseForAnimals";0-17;"Try";"Tr004_SelectProductID";132;yes;"Browsers";"Default zone";"K9-BD-01;200"
114044;2020-09-30T19:37:17.063+02:00;"SearchAnimal";0-4;"Try";"Tr005_SeeDetails";86;yes;"Searchers";"Default zone";"EST-9;200"
114222;2020-09-30T19:37:17.241+02:00;"SearchAnimal";0-11;"Try";"Tr002_EnterStore";265;yes;"Searchers";"Default zone";""
114466;2020-09-30T19:37:17.485+02:00;"BrowseForAnimals";0-14;"Try";"Tr003_Browse";80;yes;"Browsers";"Default zone";"Reptiles;200"
115165;2020-09-30T19:37:18.184+02:00;"SearchAnimal";0-6;"Try";"Tr001_HomePage";646;yes;"Searchers";"Default zone";""
116070;2020-09-30T19:37:19.089+02:00;"SearchAnimal";0-10;"Try";"Tr002_EnterStore";278;yes;"Searchers";"Default zone";""
116153;2020-09-30T19:37:19.172+02:00;"SearchAnimal";0-4;"Try";"Tr006_BackHome";61;yes;"Searchers";"Default zone";""
116161;2020-09-30T19:37:19.180+02:00;"SearchAnimal";0-5;"Try";"Tr001_HomePage";639;yes;"Searchers";"Default zone";""
116632;2020-09-30T19:37:19.651+02:00;"SearchAnimal";0-11;"Try";"Tr003_Search";134;yes;"Searchers";"Default zone";"Cats;200"
117882;2020-09-30T19:37:20.901+02:00;"SearchAnimal";0-6;"Try";"Tr002_EnterStore";271;yes;"Searchers";"Default zone";""
